Flavour, Time since last tick, Framerate, Boids on screen
CPUseq, 140850, 72.1401828032232, 2170
CPUseq, 179863, 56.6241796571972, 2172
CPUseq, 144184, 70.4701770210847, 2174
CPUseq, 153857, 66.0746379109843, 2178
CPUseq, 141968, 71.577350063346, 2180
CPUseq, 152853, 66.4412094957777, 2182
CPUseq, 154540, 66.1988613795843, 2183
CPUseq, 155524, 65.2400835073069, 2185
CPUseq, 138013, 73.6290275078047, 2187
CPUseq, 138939, 73.2541699936269, 2188
CPUseq, 159133, 63.7283642203472, 2189
CPUseq, 140212, 72.4679691576323, 2191
CPUseq, 160036, 63.3577049304966, 2193
CPUseq, 154010, 65.9043727551323, 2195
CPUseq, 156079, 64.9920384752868, 2197
CPUseq, 149015, 68.1198910081744, 2198
CPUseq, 160551, 63.5493587869698, 2200
CPUseq, 146276, 69.4844945350445, 2201
CPUseq, 140714, 72.235545667312, 2203
CPUseq, 141803, 71.6563362115295, 2205
CPUseq, 137940, 73.7245650250664, 2206
CPUseq, 142863, 71.5143886950054, 2207
CPUseq, 162451, 62.4336642317538, 2208
CPUseq, 141880, 71.6301591622137, 2209
CPUseq, 139323, 72.953827522561, 2210
CPUseq, 163470, 62.0270437910929, 2211
CPUseq, 162564, 62.3717480929838, 2213
CPUseq, 146523, 69.321206743567, 2215
CPUseq, 212552, 47.9409367659044, 2216
CPUseq, 142094, 71.536386983239, 2218
CPUseq, 144750, 70.1916935149894, 2219
CPUseq, 147114, 69.0378879929305, 2221
CPUseq, 170964, 59.2940450990507, 2222
CPUseq, 145766, 69.7233377956269, 2223
CPUseq, 143792, 70.8079899735886, 2224
CPUseq, 141535, 71.8401126452966, 2225
CPUseq, 142390, 71.3786064040886, 2226
CPUseq, 141581, 71.7885396775259, 2228
CPUseq, 142177, 71.4724759495118, 2229
CPUseq, 169878, 59.9466474837395, 2231
CPUseq, 146416, 69.3702568086907, 2232
CPUseq, 151868, 67.1469914790468, 2234
CPUseq, 160163, 63.3532896195635, 2236
CPUseq, 152494, 66.6062769755422, 2237
CPUseq, 150528, 67.5319763908211, 2238
CPUseq, 166208, 60.9923454606447, 2239
CPUseq, 162666, 62.3460831073288, 2242
CPUseq, 153394, 66.3732966952736, 2243
CPUseq, 150584, 67.4167908259231, 2245
CPUseq, 162742, 62.5923236774242, 2246
CPUseq, 159345, 63.689805172886, 2248
CPUseq, 152816, 66.8230325628638, 2249
CPUseq, 162215, 62.8140703517588, 2250
CPUseq, 159573, 63.751928495837, 2252
CPUseq, 152307, 66.6880068288519, 2253
CPUseq, 144761, 70.1705143498702, 2254
CPUseq, 154001, 66.8016059106061, 2256
CPUseq, 172062, 59.1289128558082, 2258
CPUseq, 145758, 69.6844687256104, 2260
CPUseq, 153065, 66.6244711682601, 2262
CPUseq, 156708, 65.8505587419909, 2264
CPUseq, 148317, 68.4495492597181, 2266
